name,type,record_link,series_title,effective_from,through_to,completed,dp_law,_citations_dp_law,_caution_dp_law,_attachment_name_dp_law,dp_database,_citations_dp_database,_caution_dp_database,_attachment_name_dp_database,dp_url,_citations_dp_url,_caution_dp_url,_attachment_name_dp_url,dp_enacted,_citations_dp_enacted,_caution_dp_enacted,_attachment_name_dp_enacted,dp_effective_dt,_citations_dp_effective_dt,_caution_dp_effective_dt,_attachment_name_dp_effective_dt,dp_collected,_citations_dp_collected,_caution_dp_collected,_attachment_name_dp_collected,dp_valid_imp,_citations_dp_valid_imp,_caution_dp_valid_imp,_attachment_name_dp_valid_imp,dp_state_fed,_citations_dp_state_fed,_caution_dp_state_fed,_attachment_name_dp_state_fed,dp_state_fed_reference,_citations_dp_state_fed_reference,_caution_dp_state_fed_reference,_attachment_name_dp_state_fed_reference,dp_state_fed_citation,_citations_dp_state_fed_citation,_caution_dp_state_fed_citation,_attachment_name_dp_state_fed_citation,dp_type,_citations_dp_type,_caution_dp_type,_attachment_name_dp_type,dp_activity,_citations_dp_activity,_caution_dp_activity,_attachment_name_dp_activity,dp_penalties,_citations_dp_penalties,_caution_dp_penalties,_attachment_name_dp_penalties,dp_exemption,_citations_dp_exemption,_caution_dp_exemption,_attachment_name_dp_exemption,dp_exempt_sygen_activity,_citations_dp_exempt_sygen_activity,_caution_dp_exempt_sygen_activity,_attachment_name_dp_exempt_sygen_activity,dp_exempt_sy_ssp_activity,_citations_dp_exempt_sy_ssp_activity,_caution_dp_exempt_sy_ssp_activity,_attachment_name_dp_exempt_sy_ssp_activity,dp_exempt_can_activity,_citations_dp_exempt_can_activity,_caution_dp_exempt_can_activity,_attachment_name_dp_exempt_can_activity,dp_exempt_DCEgen_activity,_citations_dp_exempt_DCEgen_activity,_caution_dp_exempt_DCEgen_activity,_attachment_name_dp_exempt_DCEgen_activity,dp_exempt_fentDCE_activity,_citations_dp_exempt_fentDCE_activity,_caution_dp_exempt_fentDCE_activity,_attachment_name_dp_exempt_fentDCE_activity,dp_exempt_xyDCE_activity,_citations_dp_exempt_xyDCE_activity,_caution_dp_exempt_xyDCE_activity,_attachment_name_dp_exempt_xyDCE_activity,dp_exempt_DCE_ssp_activity,_citations_dp_exempt_DCE_ssp_activity,_caution_dp_exempt_DCE_ssp_activity,_attachment_name_dp_exempt_DCE_ssp_activity,dp_exempt_fentDCE_ssp_activity,_citations_dp_exempt_fentDCE_ssp_activity,_caution_dp_exempt_fentDCE_ssp_activity,_attachment_name_dp_exempt_fentDCE_ssp_activity,dp_exempt_xyDCE_ssp_activity,_citations_dp_exempt_xyDCE_ssp_activity,_caution_dp_exempt_xyDCE_ssp_activity,_attachment_name_dp_exempt_xyDCE_ssp_activity,dp_exempt_SEgen_activity,_citations_dp_exempt_SEgen_activity,_caution_dp_exempt_SEgen_activity,_attachment_name_dp_exempt_SEgen_activity,dp_exempt_SE_ssp_activity,_citations_dp_exempt_SE_ssp_activity,_caution_dp_exempt_SE_ssp_activity,_attachment_name_dp_exempt_SE_ssp_activity,dp_exempt_unspec_ssp_activity,_citations_dp_exempt_unspec_ssp_activity,_caution_dp_exempt_unspec_ssp_activity,_attachment_name_dp_exempt_unspec_ssp_activity,dp_note,_citations_dp_note,_caution_dp_note,_attachment_name_dp_note
"Sioux Falls, Minnehaha County, South Dakota, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/62993,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sioux Falls, Minnehaha County, South Dakota, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/75319,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Somerville, Middlesex County, Massachusetts, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/62801,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Somerville, Middlesex County, Massachusetts, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/77394,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Bend, Saint Joseph County, Indiana, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/76405,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Bend, Saint Joseph County, Indiana, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/63644,DPL_2023_Consolidated ,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Burlington, Chittenden County, Vermont, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/63889,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Burlington, Chittenden County, Vermont, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/77383,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Fulton, Fulton County, Georgia, United States",town,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/76474,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Fulton, Fulton County, Georgia, United States",town,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/63693,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
